game_id,series,round,opponent,location,sas_score,opp_score,win,group,fg_made,fg_att,fg_pct,three_made,three_att,three_pt_pct,ft_made,ft_att,ft_pct,off_reb,def_reb,total_reb,turnovers,assists,steals,blocks,fouls,points,points_in_paint,fast_break_pts,second_chance_pts,eff_fg_pct,true_shooting_pct,largest_lead,data_source,fetched_at
e4ee37b5-470a-4ae5-8907-afd2e5aae49f,NBA Finals,4,NYK,Home,95,105,0,0,32.0,89.0,36.0,11.0,43.0,25.6,20.0,25.0,80.0,14.0,40.0,54.0,13.0,16.0,4.0,4.0,23.0,95.0,42.0,15.0,14.0,42.1,0.475,0.0,SportRadar API,2026-06-08T03:14:05Z
46314888-2206-409e-a4e9-0dcd89cf0b5a,NBA Finals,4,NYK,Home,104,105,0,0,37.0,78.0,47.4,11.0,29.0,37.9,19.0,27.0,70.4,5.0,37.0,42.0,16.0,22.0,7.0,7.0,20.0,104.0,48.0,11.0,9.0,54.5,0.579,0.0,SportRadar API,2026-06-08T03:14:06Z
d330a300-65fa-44df-8f8a-dc873736f09e,WCF,3,OKC,Away,122,115,1,1,41.0,96.0,42.7,13.0,43.0,30.2,27.0,29.0,93.1,15.0,46.0,61.0,21.0,25.0,11.0,7.0,19.0,122.0,52.0,9.0,13.0,49.5,0.561,0.0,SportRadar API,2026-06-08T03:14:08Z
2b46dfc3-486c-497e-ad6e-5f03cd7d174b,WCF,3,OKC,Away,113,122,0,1,41.0,84.0,48.8,16.0,40.0,40.0,15.0,17.0,88.2,16.0,29.0,45.0,21.0,22.0,5.0,6.0,21.0,113.0,46.0,10.0,22.0,58.3,0.618,0.0,SportRadar API,2026-06-08T03:14:09Z
705f7114-c609-4bef-a88b-868ed6f2720e,WCF,3,OKC,Home,108,123,0,1,34.0,80.0,42.5,13.0,41.0,31.7,27.0,33.0,81.8,9.0,28.0,37.0,15.0,26.0,8.0,6.0,28.0,108.0,40.0,13.0,17.0,50.6,0.571,0.0,SportRadar API,2026-06-08T03:14:11Z
7bccbef2-8e95-483d-897a-7f7094493b39,WCF,3,OKC,Home,103,82,1,1,35.0,90.0,38.9,9.0,33.0,27.3,24.0,32.0,75.0,14.0,38.0,52.0,12.0,25.0,11.0,10.0,20.0,103.0,50.0,18.0,17.0,43.9,0.495,0.0,SportRadar API,2026-06-08T03:14:13Z
3bca7139-e255-412d-aaa8-c2fb23a965f6,WCF,3,OKC,Away,114,127,0,1,37.0,92.0,40.2,12.0,41.0,29.3,28.0,32.0,87.5,15.0,26.0,41.0,15.0,25.0,14.0,3.0,29.0,114.0,46.0,26.0,15.0,46.7,0.537,0.0,SportRadar API,2026-06-08T03:14:14Z
073e8c82-f8d0-4ca4-a94f-cc9d58cd7832,WCF,3,OKC,Home,118,91,1,1,41.0,88.0,46.6,15.0,41.0,36.6,21.0,25.0,84.0,11.0,41.0,52.0,12.0,30.0,7.0,7.0,14.0,118.0,44.0,18.0,14.0,55.1,0.596,0.0,SportRadar API,2026-06-08T03:14:16Z
da5d69c1-4b9f-428e-a515-c8102aa62199,WCF,3,OKC,Away,111,103,1,1,40.0,88.0,45.5,17.0,40.0,42.5,14.0,19.0,73.7,15.0,25.0,40.0,12.0,21.0,9.0,2.0,18.0,111.0,34.0,19.0,17.0,55.1,0.576,0.0,SportRadar API,2026-06-08T03:14:17Z
92b3b712-c809-4284-abd8-893c3065642a,R2,2,MIN,Home,102,104,0,1,39.0,87.0,44.8,10.0,36.0,27.8,14.0,18.0,77.8,13.0,34.0,47.0,13.0,24.0,4.0,14.0,25.0,102.0,58.0,27.0,13.0,50.6,0.537,0.0,SportRadar API,2026-06-08T03:14:19Z
726bd6c3-dab6-4fc3-ab66-a25cb9d2d100,R2,2,MIN,Home,133,95,1,1,45.0,90.0,50.0,16.0,39.0,41.0,27.0,33.0,81.8,13.0,42.0,55.0,15.0,29.0,13.0,9.0,28.0,133.0,58.0,29.0,14.0,58.9,0.636,0.0,SportRadar API,2026-06-08T03:14:20Z
8a9ba7d2-2072-4cb6-93f3-087e975c3167,R2,2,MIN,Away,115,108,1,1,39.0,85.0,45.9,12.0,33.0,36.4,25.0,33.0,75.8,8.0,40.0,48.0,9.0,26.0,9.0,7.0,23.0,115.0,46.0,13.0,12.0,52.9,0.578,0.0,SportRadar API,2026-06-08T03:14:22Z
7b29ddc3-fa9d-4845-9549-d2d4501f8d36,R2,2,MIN,Away,109,114,0,1,41.0,86.0,47.7,6.0,26.0,23.1,21.0,27.0,77.8,13.0,28.0,41.0,14.0,17.0,13.0,3.0,20.0,109.0,58.0,17.0,15.0,51.2,0.557,0.0,SportRadar API,2026-06-08T03:14:24Z
da78daaa-92e6-4616-a901-67db7fc36ade,R2,2,MIN,Home,126,97,1,1,47.0,89.0,52.8,11.0,32.0,34.4,21.0,27.0,77.8,11.0,39.0,50.0,15.0,25.0,9.0,8.0,24.0,126.0,68.0,19.0,13.0,59.0,0.625,0.0,SportRadar API,2026-06-08T03:14:26Z
f616f274-a28f-4e49-9b1c-96c932ce5c6a,R2,2,MIN,Away,139,109,1,1,49.0,88.0,55.7,18.0,38.0,47.4,23.0,27.0,85.2,12.0,48.0,60.0,15.0,34.0,2.0,13.0,21.0,139.0,58.0,17.0,21.0,65.9,0.696,0.0,SportRadar API,2026-06-08T03:14:28Z
c09aa35b-bbaa-4bf7-925a-f6b89c6db224,R1,1,POR,Home,111,98,1,1,40.0,84.0,47.6,15.0,33.0,45.5,16.0,19.0,84.2,11.0,34.0,45.0,13.0,24.0,6.0,5.0,19.0,111.0,48.0,20.0,13.0,56.5,0.601,0.0,SportRadar API,2026-06-08T03:14:30Z
f044eb3a-be46-4cf7-b984-01103b729749,R1,1,POR,Home,103,106,0,1,38.0,86.0,44.2,7.0,24.0,29.2,20.0,28.0,71.4,12.0,33.0,45.0,16.0,19.0,13.0,5.0,21.0,103.0,38.0,20.0,20.0,48.3,0.524,0.0,SportRadar API,2026-06-08T03:14:31Z
74d28f20-c249-499c-9d90-0b04800670ca,R1,1,POR,Away,120,108,1,1,41.0,87.0,47.1,16.0,33.0,48.5,22.0,28.0,78.6,14.0,36.0,50.0,13.0,27.0,6.0,8.0,25.0,120.0,42.0,15.0,22.0,56.3,0.604,0.0,SportRadar API,2026-06-08T03:14:33Z
2284ca46-65f3-4a46-82bc-82f99150eaab,R1,1,POR,Away,114,93,1,1,43.0,87.0,49.4,14.0,33.0,42.4,14.0,17.0,82.4,9.0,31.0,40.0,12.0,26.0,12.0,10.0,21.0,114.0,52.0,3.0,11.0,57.5,0.603,0.0,SportRadar API,2026-06-08T03:14:34Z
d5a3ba6f-5f15-4de0-a31b-b692320fb9da,R1,1,POR,Home,114,95,1,1,41.0,75.0,54.7,12.0,30.0,40.0,20.0,29.0,69.0,7.0,35.0,42.0,14.0,27.0,5.0,8.0,24.0,114.0,44.0,16.0,9.0,62.7,0.649,0.0,SportRadar API,2026-06-08T03:14:36Z
